label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
upper,3,124,483,312,1.png,512,512
upper,3,124,483,313,10.png,512,512
abdominal,34,123,424,317,100.png,512,512
upper,2,124,485,313,11.png,512,512
abdominal,35,123,426,318,110.png,512,512
abdominal,2,120,468,323,146.png,512,512
upper,2,129,485,309,17.png,512,512
upper,2,125,485,311,2.png,512,512
abdominal,34,125,433,315,203.png,512,512
abdominal,32,125,434,315,209.png,512,512
abdominal,29,123,436,318,211.png,512,512
abdominal,26,127,435,313,219.png,512,512
upper,3,126,485,311,23.png,512,512
abdominal,23,138,441,298,235.png,512,512
abdominal,11,148,458,291,253.png,512,512
abdominal,9,148,466,292,262.png,512,512
abdominal,8,150,472,292,277.png,512,512
abdominal,9,149,473,293,284.png,512,512
abdominal,8,147,488,295,312.png,512,512
upper,3,129,486,308,32.png,512,512
abdominal,10,146,492,297,325.png,512,512
abdominal,14,150,489,294,343.png,512,512
abdominal,15,150,488,295,363.png,512,512
abdominal,14,157,490,287,376.png,512,512
lower,12,158,492,287,378.png,512,512
lower,12,156,491,289,381.png,512,512
lower,12,156,490,288,389.png,512,512
lower,11,157,490,287,396.png,512,512
lower,9,159,494,285,404.png,512,512
upper,2,131,485,307,41.png,512,512
lower,10,160,492,285,411.png,512,512
upper,3,129,485,310,42.png,512,512
lower,8,166,490,276,431.png,512,512
lower,8,173,490,268,444.png,512,512
upper,2,129,486,310,46.png,512,512
lower,5,172,488,269,464.png,512,512
lower,5,169,483,272,477.png,512,512
upper,2,131,485,308,48.png,512,512
abdominal,3,129,483,311,49.png,512,512
abdominal,2,127,485,312,50.png,512,512
lower,3,166,482,274,503.png,512,512
abdominal,1,129,484,310,53.png,512,512
lower,3,161,472,273,540.png,512,512
lower,3,163,463,267,556.png,512,512
abdominal,3,127,483,313,59.png,512,512
abdominal,3,126,483,313,68.png,512,512
abdominal,3,123,483,317,73.png,512,512
abdominal,40,123,417,317,86.png,512,512
abdominal,35,124,423,317,99.png,512,512
